Cell line	Disease	Disease subtype	Cellosaurus ID	Patient	Primary/Metastasis	Sample collection site
A-673	Bone cancer	Ewings Sarcoma	CVCL_0080	Female, 15	primary	soft tissue
A-704	Kidney cancer	Renal Cell Carcinoma	CVCL_1065	Male, 78	primary	kidney
A101D	Skin cancer	Melanoma	CVCL_1057	Male, 56		skin
A2058	Skin cancer	Melanoma	CVCL_1059	Male, 43	metastasis	lymph node
A2780	Ovarian cancer	Adenocarcinoma, endometrioid	CVCL_0134	Female	primary	ovary
A3/Kawakami	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_1062	Female, 68	primary	ascites
A4/Fukuda	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_1064	Female, 52	primary	ascites
ABC-1	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1066	Male, 47	metastasis	pleural effusion
ACC-MESO-1	Lung cancer	Mesothelioma	CVCL_5113	Female, 61		pleura
ACHN	Kidney cancer	Renal Cell Carcinoma	CVCL_1067	Male, 22	metastasis	pleural effusion
AF22	Uncategorized			Female, 36		
AGS	Gastric cancer	Adenocarcinoma	CVCL_0139	Female, 54	primary	stomach
ALL-SIL	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	CVCL_1805	Male, 17	primary	haematopoietic and lymphoid tissue
AM-38	Brain cancer	Glioblastoma	CVCL_1070	Male, 36	primary	central nervous system
AML-193	Leukemia	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	CVCL_1071	Female, 13	primary	haematopoietic and lymphoid tissue
AMO1	Myeloma	Multiple Myeloma, plasmacytoma	CVCL_1806	Female, 64	primary	ascites
AN3-CA	Uterine cancer		CVCL_0028	Female, 55	metastasis	endometrium
ASC2telo differentiated	Uncategorized			Female		
ASC52telo	Non-cancerous		CVCL_U602	Female		
AsPC-1	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_0152	Female, 62	metastasis	ascites
AU565	Breast cancer	Adenocarcinoma	CVCL_1074	Female, 43	metastasis	pleural effusion
B-CPAP	Thyroid cancer	Carcinoma, papillary	CVCL_0153	Female, 76	primary	thyroid
BC-3C	Bladder cancer	Transitional Cell Carcinoma	CVCL_1958	Female, 82	primary	urinary tract
BCP-1	Lymphoma	B-cell, Non-Hodgkins	CVCL_0107	Male, 94		haematopoietic and lymphoid tissue
BDCM	Leukemia	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	CVCL_4613	Male		haematopoietic and lymphoid tissue
BEN	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	CVCL_1082	Male, 71	metastasis	lymph node
BEWO	Uncategorized		CVCL_0044	Male	metastasis	central nervous system
BFTC-905	Bladder cancer	Transitional Cell Carcinoma	CVCL_1083	Female, 51	primary	urinary tract
BFTC-909	Kidney cancer	Renal Carcinoma, transitional cell	CVCL_1084	Male, 64	primary	kidney
BHT-101	Thyroid cancer	Carcinoma, papillary	CVCL_1085	Female, 63	metastasis	lymph node
BHY	Head and Neck cancer	Squamous Cell Carcinoma, oral	CVCL_1086	Male, 52	primary	upper aerodigestive tract
BICR 10	Head and Neck cancer	Squamous Cell Carcinoma, oral	CVCL_2307		Primary	upper_aerodigestive_tract
BICR 16	Head and Neck cancer	Squamous Cell Carcinoma, oral	CVCL_2308	Male	primary	upper aerodigestive tract
BICR 18	Head and Neck cancer	Squamous Cell Carcinoma	CVCL_2309	Male	metastasis	lymph node
BICR 22	Head and Neck cancer	Squamous Cell Carcinoma, oral	CVCL_2310	Male, 88	metastasis	lymph node
BICR 31	Head and Neck cancer	Squamous Cell Carcinoma, oral	CVCL_2312	Male	primary	upper aerodigestive tract
BICR 56	Head and Neck cancer	Squamous Cell Carcinoma, oral	CVCL_2313	Female	primary	upper aerodigestive tract
BICR 6	Head and Neck cancer	Squamous Cell Carcinoma, oral	CVCL_2314	Male	primary	upper aerodigestive tract
BICR 78	Head and Neck cancer	Squamous Cell Carcinoma, oral	CVCL_2315		Primary	upper_aerodigestive_tract
BJ [Human fibroblast]	Non-cancerous		CVCL_3653	Male		
BJ hTERT+ SV40 Large T+	Uncategorized			Male		
BJ hTERT+ SV40 Large T+ RasG12V	Uncategorized			Male		
BJ1-hTERT	Non-cancerous		CVCL_6573	Male		fibroblast
BJAB	Lymphoma		CVCL_5711			
BL-41	Lymphoma	B-cell, Non-Hodgkins, Burkitts	CVCL_1087	Male, 8		haematopoietic and lymphoid tissue
BL-70	Lymphoma	B-cell, Non-Hodgkins, Burkitts	CVCL_1088	Male, 16		haematopoietic and lymphoid tissue
BT-12	Rhabdoid	Atypical Teratoid Rhabdoid Tumor (ATRT)	CVCL_M155	Female, 0		soft tissue
BT-20	Breast cancer	Breast Ductal Carcinoma	CVCL_0178	Female, 74	primary	breast
BT-474	Breast cancer	Breast Ductal Carcinoma	CVCL_0179	Female, 60	primary	breast
BT-483	Breast cancer	Breast Ductal Carcinoma	CVCL_2319	Female, 23	primary	breast
BT-549	Breast cancer	Breast Ductal Carcinoma	CVCL_1092	Female, 72	primary	breast
BV-173	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis	CVCL_0181	Male, 45		haematopoietic and lymphoid tissue
BxPC-3	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_0186	Female, 61	primary	pancreas
C-33 A	Cervical cancer	Carcinoma	CVCL_1094	66	Primary	cervix
C170	Colorectal cancer		CVCL_S959			
C2BBe1	Colorectal cancer	Adenocarcinoma	CVCL_1096	Male, 72	primary	colon
C32 [Human melanoma]	Skin cancer	Melanoma, amelanotic	CVCL_1097	Male, 53	primary	skin
C8166	Lymphoma	ATL	CVCL_1099	Male		haematopoietic and lymphoid tissue
Ca Ski	Cervical cancer	Squamous Cell Carcinoma	CVCL_1100	40	Metastasis	small_intestine
CA46	Lymphoma	B-cell, Non-Hodgkins, Burkitts	CVCL_1101	Male		ascites
CACO-2	Colorectal cancer		CVCL_0025	Male, 72		colon
CADO-ES1	Bone cancer	Ewings Sarcoma	CVCL_1103	Female, 19	metastasis	pleural effusion
Caki-1	Kidney cancer	Renal Carcinoma, clear cell	CVCL_0234	Male, 49	metastasis	skin
Caki-2	Kidney cancer	Renal Carcinoma, clear cell	CVCL_0235	Male, 69	primary	kidney
CAL-120	Breast cancer	Carcinoma	CVCL_1104	Female, 43	metastasis	pleural effusion
CAL-12T	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	CVCL_1105	Male	primary	lung
CAL-148	Breast cancer	Breast Ductal Carcinoma	CVCL_1106	Female, 58	metastasis	pleural effusion
CAL-27	Head and Neck cancer	Squamous Cell Carcinoma	CVCL_1107	Male, 56	primary	upper aerodigestive tract
CAL-29	Bladder cancer	Transitional Cell Carcinoma	CVCL_1808	Female, 80	primary	urinary tract
CAL-33	Head and Neck cancer	Squamous Cell Carcinoma, oral	CVCL_1108	Male, 69	primary	upper aerodigestive tract
CAL-51	Breast cancer	Carcinoma	CVCL_1110	Female, 45	metastasis	pleural effusion
CAL-54	Kidney cancer	Renal Cell Carcinoma	CVCL_1111	Male, 75	metastasis	pleural effusion
CAL-62	Thyroid cancer	Carcinoma, anaplastic	CVCL_1112	Female, 70	primary	pleural effusion
CAL-78	Bone cancer	Chondrosarcoma	CVCL_1809	Male, 76		soft tissue
CAL-85-1	Breast cancer	Carcinoma	CVCL_1114	Female, 35	primary	breast
Calu-1	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_0608	Male, 47	metastasis	pleura
Calu-3	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_0609	Male, 25	metastasis	pleural effusion
Calu-6	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	CVCL_0236	Female, 61	metastasis	pleural effusion
CAMA-1	Breast cancer	Carcinoma	CVCL_1115	Female, 51	metastasis	pleural effusion
Caov-3	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_0201	Female, 54	primary	ovary
Caov-4	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_0202	Female, 45	metastasis	ovary
Capan-1	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_0237	Male, 40	metastasis	liver
CAPAN-2	Pancreatic cancer		CVCL_0026	Male, 56	primary	pancreas
CaR-1	Colorectal cancer	Adenocarcinoma	CVCL_1116	70	Metastasis	large_intestine
CAS-1	Brain cancer	Glioblastoma	CVCL_1117	Male, 63	primary	central nervous system
CCF-STTG1	Brain cancer	Astrocytoma	CVCL_1118	Female, 68	primary	central nervous system
CCK-81	Colorectal cancer	Adenocarcinoma	CVCL_2873	Female, 62	metastasis	large intestine
CCRF-SB	Leukemia		CVCL_1860			
CFPAC-1	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1119	Male, 26	metastasis	liver
CH-157MN	Brain cancer	Meningioma	CVCL_5723	Female, 41		central nervous system
ChaGo-K-1	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	CVCL_1121	Male, 45	metastasis	lung
CHP-126	Neuroblastoma		CVCL_1123	Female, 1	primary	autonomic ganglia
CHP-212	Neuroblastoma		CVCL_1125	Male, 1		central nervous system
Ci-1	Lymphoma	B-cell, Non-Hodgkins	CVCL_1861	Female, 38		ascites
CJM [Human melanoma]	Skin cancer	Melanoma	CVCL_U797	Male	metastasis	skin
CL-11	Colorectal cancer	Adenocarcinoma	CVCL_1978	Male	primary	colon
CL-14	Colorectal cancer	Adenocarcinoma	CVCL_1979	Male		large intestine
CL-34	Colorectal cancer	Adenocarcinoma	CVCL_1980	Female	primary	colon
CL-40	Colorectal cancer	Adenocarcinoma	CVCL_1982	Female	primary	colon
CMK	Leukemia	Acute Myelogenous Leukemia (AML), M7 (Megakaryoblastic)	CVCL_0216	Male, 0		haematopoietic and lymphoid tissue
CML-T1	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis	CVCL_1126	Female, 36		haematopoietic and lymphoid tissue
COLO 201	Colorectal cancer	Adenocarcinoma	CVCL_1987	Male, 70	metastasis	ascites
COLO 206F	Colorectal cancer		CVCL_1988		Metastasis	ascites
COLO 320	Colorectal cancer	Adenocarcinoma	CVCL_1989	Female, 55	primary	large intestine
COLO 320DM	Colorectal cancer		CVCL_0219			
COLO 668	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1128	Female, 47	metastasis	central nervous system
COLO 678	Colorectal cancer	Adenocarcinoma	CVCL_1129	Male, 69	metastasis	lymph node
COLO 679	Skin cancer	Melanoma	CVCL_1130	Female, 47	metastasis	skin
COLO 680N	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1131	Female, 57		oesophagus
COLO 684	Uterine cancer	Endometrial Adenocarcinoma	CVCL_1132	Female, 63	primary	endometrium
COLO 699	Lung cancer		CVCL_1992		Metastasis	pleural_effusion
COLO 704	Ovarian cancer	Adenocarcinoma	CVCL_1994	50	Metastasis	ascites
COLO 741	Skin cancer	Melanoma	CVCL_1133	Female, 69	metastasis	skin
COLO 783	Skin cancer	Melanoma	CVCL_1997	Female, 48	metastasis	lymph node
COLO 792	Skin cancer	Melanoma	CVCL_1134	Male, 62	metastasis	central nervous system
COLO 794	Skin cancer	Melanoma	CVCL_2408	14	Primary	skin
COLO 800	Skin cancer	Melanoma	CVCL_1135	Male, 14	metastasis	skin
COLO 829	Skin cancer	Melanoma	CVCL_1137	Male, 45	primary	skin
COLO 849	Skin cancer	Melanoma	CVCL_2002	43	Metastasis	lymph_node
COR-L105	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1138	Male	metastasis	pleural effusion
COR-L23	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_1139	Male, 62	metastasis	pleural effusion
COR-L24	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_2409	Male, 71	metastasis	lymph node
COR-L26	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_2410		Metastasis	bone_marrow
COR-L279	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1140	Male, 63	metastasis	lymph node
COR-L311	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_2412	Male, 63	primary	lung
COR-L47	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_2415	Male, 67	metastasis	bone marrow
COR-L88	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1141	Male, 55	metastasis	pleural effusion
COR-L95	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_2418	Male, 64	primary	lung
COV318	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_2419	Female	metastasis	ascites
COV362	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_2420	Female	metastasis	pleural effusion
COV413B	Ovarian cancer		CVCL_2423		Metastasis	uriry_tract
COV434	Ovarian cancer	Adenocarcinoma, endometrioid	CVCL_2010	Female, 26	primary	ovary
COV504	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_2424		Metastasis	pleural_effusion
COV644	Ovarian cancer	Adenocarcinoma, mucinous	CVCL_2425	Female	primary	ovary
CPC-N	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1146		Metastasis	pleural_effusion
CW-2	Colorectal cancer	Adenocarcinoma	CVCL_1151	Female, 55	primary	large intestine
D283 Med	Brain cancer	Medulloblastoma	CVCL_1155	Male, 6	metastasis	abdomen
D341 Med	Brain cancer		CVCL_0018	Male, 3		central nervous system
DAN-G	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_0243	Female, 68		pancreas
Daoy	Brain cancer	Medulloblastoma	CVCL_1167	Male, 4	primary	central nervous system
Daudi	Lymphoma		CVCL_0008	Male, 16		haematopoietic and lymphoid tissue
DB	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_1168	Male, 45	metastasis	ascites
DBTRG-05MG	Brain cancer	Glioblastoma	CVCL_1169	Female, 59	primary	central nervous system
DEL	Lymphoma	T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)	CVCL_1170	Male, 12		pleural effusion
DEOC-1	Skin cancer	Melanoma	CVCL_4161			
Detroit 562	Head and Neck cancer	Squamous Cell Carcinoma, pharynx	CVCL_1171	Female	metastasis	pleural effusion
DK-MG	Brain cancer	Glioblastoma	CVCL_1173	Female, 67	primary	central nervous system
DM-3	Non-cancerous	Lung	CVCL_2019	Male, 62		fibroblast
DMS 114	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1174	Male, 68	primary	lung
DMS 153	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1175	Male, 44	metastasis	liver
DMS 273	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1176	Female, 50	metastasis	pleural effusion
DMS 454	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_2438	Male	primary	lung
DMS 53	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1177	Male, 54	primary	lung
DMS 79	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1178	Male, 65	metastasis	pleural effusion
DND-41	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	CVCL_2022	Male, 13	primary	haematopoietic and lymphoid tissue
DoHH2	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_1179	Male, 60	metastasis	pleural effusion
DOK	Head and Neck cancer	Oral Dysplasia	CVCL_1180	57		upper_aerodigestive_tract
DOV13	Ovarian cancer	Adenocarcinoma	CVCL_6774		Primary	ovary
DU145	Prostate cancer	Adenocarcinoma	CVCL_0105	Male, 69	metastasis	central nervous system
DU4475	Breast cancer	Carcinoma	CVCL_1183	Female, 62	metastasis	skin
DV-90	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1184	Male, 50	metastasis	pleural effusion
EB1	Lymphoma	B-cell, Non-Hodgkins, Burkitts	CVCL_2027	Female, 9	primary	bone
EB2	Lymphoma	B-cell, Non-Hodgkins, Burkitts	CVCL_1186	7		ovary
EB3 [Human Burkitt lymphoma]	Lymphoma	B-cell, Non-Hodgkins, Burkitts	CVCL_1185	3		haematopoietic_and_lymphoid_tissue
EBC-1	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_2891	Male, 69	metastasis	skin
EC-GI-10	Esophageal cancer	Squamous Cell Carcinoma	CVCL_1187	Male, 65		lymph node
ECC10	Gastric cancer	Small Cell Carcinoma	CVCL_1188	Male, 73		liver
ECC12	Gastric cancer	Small Cell Carcinoma	CVCL_1189	Male, 63		stomach
EFE-184	Uterine cancer	Endometrial Adenocarcinoma	CVCL_1191	Female, 69	metastasis	ascites
EFM-19	Breast cancer	Breast Ductal Carcinoma	CVCL_0253	Female, 50	metastasis	pleural effusion
EFM-192A	Breast cancer	Adenocarcinoma	CVCL_1812	Female, 46	metastasis	pleural effusion
EFO-21	Ovarian cancer		CVCL_0029	Female, 56	metastasis	ascites
EFO-27	Ovarian cancer	Adenocarcinoma, endometrioid	CVCL_1192	Female, 36	metastasis	abdomen
EHEB	Lymphoma	B-cell	CVCL_1194	Female, 69		haematopoietic and lymphoid tissue
EJM	Myeloma	Multiple Myeloma	CVCL_2030	Female, 58	primary	ascites
EKVX	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1195	Male	primary	lung
EM-2	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis	CVCL_1196	Female, 5		bone marrow
EN	Uterine cancer	Endometrial Adenocarcinoma	CVCL_2034	Female, 50	primary	endometrium
EoL-1	Leukemia	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	CVCL_0258	Male, 33		haematopoietic and lymphoid tissue
EPLC-272H	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_1197	Male, 57	primary	lung
ES-2	Ovarian cancer	Adenocarcinoma, clear cell	CVCL_3509	Female, 47	primary	ovary
ESS-1	Uterine cancer	Endometrial Stromal Sarcoma	CVCL_1205	Female, 76	primary	endometrium
Evsa-T	Breast cancer	Carcinoma	CVCL_1207	58	Metastasis	ascites
EW-8	Bone cancer	Ewings Sarcoma	CVCL_V618	Male		bone
EWS-502	Bone cancer	Ewings Sarcoma	CVCL_S740	Female		bone
F-36P	Leukemia	Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)	CVCL_2037	Male, 68	metastasis	pleural effusion
FaDu	Head and Neck cancer	Squamous Cell Carcinoma	CVCL_1218	Male, 56	primary	upper aerodigestive tract
Farage	Lymphoma	B-cell, Non-Hodgkins	CVCL_3302	70	Metastasis	lymph_node
fHDF/TERT166	Non-cancerous		CVCL_GZ73	Male		
FTC-133	Thyroid cancer	Carcinoma, anaplastic	CVCL_1219	Male, 42	metastasis	thyroid
FTC-238	Thyroid cancer	Carcinoma, follicular	CVCL_2447	Male, 42	metastasis	lung
FU-OV-1	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_2047	Female, 65	primary	ovary
Fu97	Gastric cancer	Adenocarcinoma	CVCL_2908	Female, 66	primary	stomach
G-292 clone A141B1	Bone cancer	Osteosarcoma	CVCL_2909	Female, 9	primary	bone
G-361	Skin cancer	Melanoma	CVCL_1220	Male, 31	primary	skin
G-401	Rhabdoid	Malignant Rhabdoid Tumor	CVCL_0270	Male, 0	primary	kidney
G-402	Kidney cancer	Renal Cell Carcinoma	CVCL_1221	Female, 0	primary	kidney
GA-10	Lymphoma	B-cell, Non-Hodgkins, Burkitts	CVCL_1222	Male, 41		haematopoietic and lymphoid tissue
GAMG	Brain cancer		CVCL_1226	Female, 42	primary	central nervous system
GB-1	Brain cancer	Glioblastoma	CVCL_1227	Male, 35	primary	central nervous system
GCIY	Gastric cancer	Adenocarcinoma	CVCL_1228	Female, 39	metastasis	ascites
GCT	Sarcoma	Pleomorphic Sarcoma	CVCL_1229	Male, 29	metastasis	soft tissue
GDM-1	Leukemia	Acute Myelogenous Leukemia (AML)	CVCL_1230	Female, 66		haematopoietic and lymphoid tissue
GI-1	Brain cancer	Glioblastoma	CVCL_1231	Male, 61	primary	central nervous system
GMS-10	Brain cancer	Glioblastoma	CVCL_1233	Male, 49	primary	central nervous system
GOS-3	Brain cancer	Glioblastoma	CVCL_2050	Male, 64	primary	central nervous system
GP2d	Colorectal cancer	Adenocarcinoma	CVCL_2450	Female, 71	primary	colon
Granta-519	Lymphoma	B-cell, Non-Hodgkins, Mantle Cell	CVCL_1818	Female, 58	primary	haematopoietic and lymphoid tissue
GSS	Gastric cancer	Adenocarcinoma	CVCL_8876	Male, 75	metastasis	liver
GSU	Gastric cancer	Adenocarcinoma	CVCL_8877	Male, 37	metastasis	ascites
GTL-16	Gastric cancer	Adenocarcinoma	CVCL_7668		Metastasis	liver
H4	Brain cancer	Glioma	CVCL_1239	Male, 37	primary	central nervous system
HaCaT	Non-cancerous		CVCL_0038	Male		
HAP1	Leukemia		CVCL_Y019	Male		bone marrow
HARA [Human squamous cell lung carcinoma]	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_2914	Male, 57	metastasis	pleural effusion
HBEC3-KT	Non-cancerous		CVCL_X491	Female, 65		
HBF/TERT88	Non-cancerous		CVCL_9Q52	Female		
HBL-100	Uncategorized		CVCL_4362			
HCA7	Colorectal cancer	Adenocarcinoma	CVCL_0289		Primary	Colon
HCC-56	Colorectal cancer	Adenocarcinoma	CVCL_2917	Female		large intestine
HCC1011	Kidney cancer		CVCL_V675			
HCC1143	Breast cancer	Breast Ductal Carcinoma	CVCL_1245	Female, 52	primary	breast
HCC1162	Uterine cancer	Endometrial Adenocarcinoma	CVCL_V651		Primary	endometrium
HCC1171	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_5126	Male, 58	primary	lung
HCC1187	Breast cancer	Breast Ductal Carcinoma	CVCL_1247	Female, 41	primary	breast
HCC1195	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma	CVCL_5127	Male, 47	primary	lung
HCC1263	Colorectal cancer		CVCL_V686			
HCC1319	Kidney cancer		CVCL_V671			
HCC1359	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_5128	Female, 55	primary	lung
HCC1395	Breast cancer	Breast Ductal Carcinoma	CVCL_1249	Female, 43	primary	breast
HCC1419	Breast cancer	Breast Ductal Carcinoma	CVCL_1251	Female, 42	primary	breast
HCC1428	Breast cancer	Carcinoma	CVCL_1252	Female, 49	metastasis	pleural effusion
HCC1438	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	CVCL_L088	Male, 43	primary	lung
HCC1482	Cervical cancer		CVCL_V591			
HCC1493	Breast cancer		CVCL_V592			
HCC15	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_2057	Male, 47	primary	lung
HCC1500	Breast cancer	Breast Ductal Carcinoma	CVCL_1254	Female, 32	primary	breast
HCC1534	Lung cancer		CVCL_V595			
HCC1569	Breast cancer	Carcinoma	CVCL_1255	Female, 70	primary	breast
HCC1576	Adrenocortical cancer		CVCL_V597			
HCC1588	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_A351	Female, 63	primary	lung
HCC1599	Breast cancer	Breast Ductal Carcinoma	CVCL_1256	Female, 44	primary	breast
HCC1806	Breast cancer	Breast Ductal Carcinoma	CVCL_1258	Female, 60	primary	breast
HCC1833	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_5129	Female, 69	primary	lung
HCC193	Lung cancer		CVCL_5130		Primary	lung
HCC1937	Breast cancer	Breast Ductal Carcinoma	CVCL_0290	Female, 24	primary	breast
HCC1954	Breast cancer	Breast Ductal Carcinoma	CVCL_1259	Female, 61	primary	breast
HCC202	Breast cancer	Breast Ductal Carcinoma	CVCL_2062	Female, 82	primary	breast
HCC2108	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_A352	Male, 59	primary	lung
HCC2157	Breast cancer	Breast Ductal Carcinoma	CVCL_1261	Female, 48	primary	breast
HCC2218	Breast cancer	Breast Ductal Carcinoma	CVCL_1263	Female, 38	primary	breast
HCC2270	Lung cancer		CVCL_V635			
HCC2279	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_5131	Female, 52	primary	lung
HCC2302	Lung cancer		CVCL_V636			
HCC2429	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	CVCL_5132	Female, 34		lung
HCC2450	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_5133	Male, 52		lung
HCC2688	Breast cancer		CVCL_3376			breast
HCC2814	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_V586	Male, 55		lung
HCC2885	Lung cancer		CVCL_V588			
HCC2911	Breast cancer		CVCL_0V16			
HCC2935	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1265	Male, 39	primary	pleural effusion
HCC33	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_2058	Male, 52	metastasis	pleural effusion
